season,week,player_id,player_display_name,position,team,opponent_team,lambda,p_ge1,p_ge2,p_book,n_books,fair_amer,book_amer,sleeper_half_ppr,scoring_tds,scored_anytime
2025,17,00-0036973,Travis Etienne,RB,JAX,IND,0.9414057347049447,0.6099208979692563,0.2426981943289589,0.6527610320713769,8.0,-156,-188,14.92,0.0,0
2025,17,00-0039361,Bucky Irving,RB,TB,MIA,0.9035941189467825,0.5948889771492356,0.22883303938076938,0.4347826086956522,8.0,-147,130,13.5,0.0,0
2025,17,00-0037840,Kyren Williams,RB,LA,ATL,0.8992636080518421,0.5931308353726436,0.22724820238480803,0.5348837209302326,8.0,-146,-115,12.42,0.0,0
2025,17,00-0037248,James Cook,RB,BUF,PHI,0.8606461346950037,0.5771112490712904,0.21315368017849834,0.540169133192389,8.0,-136,-117,18.9,0.0,0
2025,17,00-0038597,Chase Brown,RB,CIN,ARI,0.8189307811674936,0.5590971758277186,0.19802828160935804,0.6240548371139849,8.0,-127,-166,14.32,2.0,1
2025,17,00-0040122,Ashton Jeanty,RB,LV,NYG,0.8173277387667442,0.5583898230992286,0.1974495757965392,0.5555555555555556,8.0,-126,-125,17.32,0.0,0
2025,17,00-0033280,Christian McCaffrey,RB,SF,CHI,0.8088924399782706,0.5546489538155125,0.1944078594204669,0.7142857142857143,8.0,-125,-250,22.19,1.0,1
2025,17,00-0039139,Jahmyr Gibbs,RB,DET,MIN,0.8047606758113471,0.5528050616806227,0.19292016089930686,0.6693989071038251,8.0,-124,-202,19.87,0.0,0
2025,17,00-0040730,RJ Harvey,RB,DEN,KC,0.7462499365529737,0.5258587171204747,0.17203081485448357,0.6000000000000001,8.0,-111,-150,12.38,1.0,1
2025,17,00-0036223,Jonathan Taylor,RB,IND,JAX,0.714981888720695,0.5107990282284653,0.16102919346725408,0.6609195402298851,8.0,-104,-195,19.75,1.0,1
2025,17,00-0036997,Javonte Williams,RB,DAL,WAS,0.7068275939879162,0.5067936309200475,0.15818175972374837,0.6472564389697648,8.0,-103,-183,14.17,1.0,1
2025,17,00-0034844,Saquon Barkley,RB,PHI,BUF,0.6355646544226454,0.47036365763463617,0.13374551872951979,0.48780487804878053,8.0,113,105,15.05,0.0,0
2025,17,00-0039040,De'Von Achane,RB,MIA,TB,0.6298604212979958,0.467333855332545,0.13182853304112263,0.5555555555555556,7.0,114,-125,18.11,0.0,0
2025,17,00-0036900,Ja'Marr Chase,WR,CIN,ARI,0.6181001979338109,0.46103260304881477,0.12789674831341646,0.6153846153846154,7.0,117,-160,16.43,2.0,1
2025,17,00-0036963,Amon-Ra St. Brown,WR,DET,MIN,0.6133605085963081,0.4584720015900917,0.12632011306624968,0.47619047619047616,7.0,118,110,15.79,0.0,0
2025,17,00-0038542,Bijan Robinson,RB,ATL,LA,0.6091747996911948,0.45620057257075797,0.12493166529436295,0.5717168011738811,8.0,119,-133,17.94,2.0,1
2025,17,00-0034857,Josh Allen,QB,BUF,PHI,0.5947174056996356,0.4482815436689209,0.12016497464309384,0.5060975609756098,8.0,123,-102,23.58,2.0,1
2025,17,00-0037247,George Pickens,WR,DAL,WAS,0.5915855921665566,0.44655095581620896,0.11913847527872623,0.4464374688589935,8.0,124,124,14.72,0.0,0
