player_id,player_display_name,position,team,opponent_team,season,week,fantasy_points_half_ppr_roll3,targets_roll3,receptions_roll3,receiving_yards_roll3,receiving_tds_roll3,carries_roll3,rushing_yards_roll3,rushing_tds_roll3,target_share_roll3,air_yards_share_roll3,wopr_roll3,receiving_air_yards_roll3,receiving_yards_after_catch_roll3,ffo_expected_pts_roll3,ffo_pts_diff_roll3,fantasy_points_half_ppr_roll5,targets_roll5,receptions_roll5,receiving_yards_roll5,receiving_tds_roll5,carries_roll5,rushing_yards_roll5,rushing_tds_roll5,target_share_roll5,air_yards_share_roll5,wopr_roll5,receiving_air_yards_roll5,receiving_yards_after_catch_roll5,ffo_expected_pts_roll5,ffo_pts_diff_roll5,fantasy_points_half_ppr_trend,targets_trend,target_share_trend,air_yards_share_trend,wopr_trend,carries_trend,def_pts_allowed_roll4,implied_team_total,is_home,days_rest,is_dome,effective_wind,effective_temp,is_turf,injury_status_score,practice_status_score,starter_qb_availability,starter_rb_availability,starter_wr_availability,starter_te_availability,depth_chart_position,target_half_ppr
00-0019596,Tom Brady,QB,TB,CAR,2020,2,20.46,0.0,0.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,19.9,0.5600000000000023,20.46,0.0,0.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,19.9,0.5600000000000023,0.0,0.0,0.0,0.0,0.0,0.0,13.56,19.75,1,7,0,17.0,85.0,0,1.0,1.0,1.0,1.0,0.35,1.0,1,23.880000000000003
00-0019596,Tom Brady,QB,TB,DEN,2020,3,14.57,0.0,0.0,0.0,0.0,2.0,4.5,0.5,0.0,0.0,0.0,0.0,0.0,18.384999999999998,-3.8149999999999995,14.57,0.0,0.0,0.0,0.0,2.0,4.5,0.5,0.0,0.0,0.0,0.0,0.0,18.384999999999998,-3.8149999999999995,0.0,0.0,0.0,0.0,0.0,0.0,18.799999999999997,18.25,0,7,0,7.0,55.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,32.46
00-0019596,Tom Brady,QB,TB,LAC,2020,4,17.673333333333336,0.0,0.0,0.0,0.0,3.0,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,19.926666666666666,-2.253333333333334,17.673333333333336,0.0,0.0,0.0,0.0,3.0,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,19.926666666666666,-2.253333333333334,0.0,0.0,0.0,0.0,0.0,0.0,19.466666666666665,17.5,1,7,0,6.0,75.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,14.12
00-0019596,Tom Brady,QB,TB,CHI,2020,5,21.673333333333336,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.64,0.033333333333332625,21.37,0.0,0.0,0.0,0.0,3.0,1.5,0.25,0.0,0.0,0.0,0.0,0.0,21.205,0.16500000000000004,0.30333333333333456,0.0,0.0,0.0,0.0,0.0,11.635,20.25,0,4,0,7.0,57.0,0,1.0,1.0,1.0,1.0,1.0,0.6,1,14.64
00-0019596,Tom Brady,QB,TB,GB,2020,6,23.486666666666668,0.0,0.0,0.0,0.0,3.6666666666666665,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.166666666666668,1.3199999999999996,19.92,0.0,0.0,0.0,0.0,3.0,1.2,0.2,0.0,0.0,0.0,0.0,0.0,20.654,-0.734,3.5666666666666664,0.0,0.0,0.0,0.0,0.6666666666666665,18.46,29.0,1,10,0,12.0,88.0,0,1.0,1.0,1.0,1.0,0.8,1.0,1,36.86
00-0019596,Tom Brady,QB,TB,LV,2020,7,20.406666666666666,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.66,0.7466666666666674,18.756000000000004,0.0,0.0,0.0,0.0,2.4,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,19.772000000000002,-1.0160000000000005,1.6506666666666625,0.0,0.0,0.0,0.0,-0.3999999999999999,20.195,24.0,0,7,1,0.0,70.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,19.06
00-0019596,Tom Brady,QB,TB,NYG,2020,8,21.873333333333335,0.0,0.0,0.0,0.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,22.27,-0.3966666666666683,24.392000000000003,0.0,0.0,0.0,0.0,2.4,-0.4,0.2,0.0,0.0,0.0,0.0,0.0,22.972,1.4199999999999988,-2.518666666666668,0.0,0.0,0.0,0.0,-1.0666666666666667,17.76,17.0,0,8,0,8.0,39.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,2.3599999999999994
00-0019596,Tom Brady,QB,TB,NO,2020,9,23.52,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,22.866666666666664,0.6533333333333319,23.428,0.0,0.0,0.0,0.0,1.6,-0.6,0.2,0.0,0.0,0.0,0.0,0.0,22.418,1.0099999999999993,0.09199999999999875,0.0,0.0,0.0,0.0,-0.9333333333333335,21.51,24.0,1,6,0,17.0,77.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,31.84
00-0019596,Tom Brady,QB,TB,CAR,2020,10,19.426666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,23.41,-3.9833333333333356,17.407999999999998,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,20.834000000000003,-3.426000000000001,2.018666666666668,0.0,0.0,0.0,0.0,-0.33333333333333337,22.355,21.75,0,7,0,15.0,65.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,12.64
00-0019596,Tom Brady,QB,TB,LA,2020,11,17.753333333333334,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,23.683333333333334,-5.93,20.951999999999998,0.0,0.0,0.0,0.0,0.8,0.4,0.4,0.0,0.0,0.0,0.0,0.0,23.881999999999998,-2.9300000000000006,-3.1986666666666643,0.0,0.0,0.0,0.0,0.19999999999999996,11.400000000000002,21.75,1,8,0,5.0,69.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,21.7
