player_id,player,position,adp_half_ppr,adp_pos_rank,sleeper_pts_half_ppr,refreshed_at,adp_source,adp_matched,sleeper_matched
00-0034855,Baker Mayfield,QB,152.3,17,274.88,2026-08-16,fresh,True,True
00-0039732,Bo Nix,QB,116.1,15,295.72,2026-08-16,fresh,True,True
00-0037834,Brock Purdy,QB,115.6,14,303.2,2026-08-16,fresh,True,True
00-0039163,C.J. Stroud,QB,191.9,23,238.2,2026-08-16,fresh,True,True
00-0039918,Caleb Williams,QB,79.7,7,299.34,2026-08-16,fresh,True,True
00-0033077,Dak Prescott,QB,89.8,9,303.88,2026-08-16,fresh,True,True
00-0039851,Drake Maye,QB,51.8,3,320.76,2026-08-16,fresh,True,True
MEN516487,Fernando Mendoza,QB,197.7,24,212.16,2026-08-16,fresh,True,True
00-0036389,Jalen Hurts,QB,65.5,6,310.54,2026-08-16,fresh,True,True
00-0033106,Jared Goff,QB,127.2,16,283.46,2026-08-16,fresh,True,True
00-0040691,Jaxson Dart,QB,95.8,10,296.54,2026-08-16,fresh,True,True
00-0039910,Jayden Daniels,QB,64.3,5,308.72,2026-08-16,fresh,True,True
00-0036442,Joe Burrow,QB,55.9,4,306.12,2026-08-16,fresh,True,True
00-0036264,Jordan Love,QB,153.4,18,278.52,2026-08-16,fresh,True,True
00-0034857,Josh Allen,QB,22.5,1,361.5,2026-08-16,fresh,True,True
00-0036355,Justin Herbert,QB,81.3,8,295.48,2026-08-16,fresh,True,True
00-0035228,Kyler Murray,QB,163.7,19,265.2,2026-08-16,fresh,True,True
00-0034796,Lamar Jackson,QB,35.3,2,326.0,2026-08-16,fresh,True,True
00-0038128,Malik Willis,QB,187.9,22,270.12,2026-08-16,fresh,True,True
00-0026498,Matthew Stafford,QB,111.9,13,280.22,2026-08-16,fresh,True,True
00-0033873,Patrick Mahomes,QB,105.4,12,286.68,2026-08-16,fresh,True,True
00-0034869,Sam Darnold,QB,170.7,21,262.74,2026-08-16,fresh,True,True
00-0036971,Trevor Lawrence,QB,97.9,11,303.42,2026-08-16,fresh,True,True
00-0040743,Tyler Shough,QB,166.8,20,270.94,2026-08-16,fresh,True,True
00-0033293,Aaron Jones,RB,104.4,38,120.1,2026-08-16,fresh,True,True
00-0033906,Alvin Kamara,RB,149.1,48,53.0,2026-08-16,fresh,True,True
00-0040122,Ashton Jeanty,RB,11.3,6,234.5,2026-08-16,fresh,True,True
00-0040719,Bhayshul Tuten,RB,59.0,25,158.8,2026-08-16,fresh,True,True
00-0038542,Bijan Robinson,RB,2.3,2,292.9,2026-08-16,fresh,True,True
00-0039738,Blake Corum,RB,92.2,35,127.8,2026-08-16,fresh,True,True
00-0039794,Braelon Allen,RB,203.3,57,47.2,2026-08-16,fresh,True,True
00-0038120,Breece Hall,RB,29.2,16,195.6,2026-08-16,fresh,True,True
00-0037746,Brian Robinson,RB,160.4,49,63.4,2026-08-16,fresh,True,True
00-0039361,Bucky Irving,RB,45.9,20,179.3,2026-08-16,fresh,True,True
00-0040715,Cam Skattebo,RB,37.2,18,187.5,2026-08-16,fresh,True,True
00-0038597,Chase Brown,RB,16.5,10,226.7,2026-08-16,fresh,True,True
00-0038611,Chris Rodriguez,RB,140.7,45,125.0,2026-08-16,fresh,True,True
00-0033280,Christian McCaffrey,RB,5.5,4,256.0,2026-08-16,fresh,True,True
00-0036555,Chuba Hubbard,RB,73.8,28,148.4,2026-08-16,fresh,True,True
00-0036275,D'Andre Swift,RB,53.2,24,187.2,2026-08-16,fresh,True,True
00-0035685,David Montgomery,RB,49.2,23,185.6,2026-08-16,fresh,True,True
00-0039040,De'Von Achane,RB,14.3,8,217.9,2026-08-16,fresh,True,True
00-0032764,Derrick Henry,RB,17.8,12,238.4,2026-08-16,fresh,True,True
00-0040162,Dylan Sampson,RB,177.8,54,77.2,2026-08-16,fresh,True,True
JOH224817,Emmett Johnson,RB,196.4,56,59.2,2026-08-16,fresh,True,True
00-0037197,Isiah Pacheco,RB,173.7,53,48.6,2026-08-16,fresh,True,True
00-0036158,J.K. Dobbins,RB,87.4,34,147.2,2026-08-16,fresh,True,True
00-0040242,Jacory Croskey-Merritt,RB,100.9,37,118.4,2026-08-16,fresh,True,True
PRI206342,Jadarian Price,RB,61.1,26,160.5,2026-08-16,fresh,True,True
00-0039139,Jahmyr Gibbs,RB,1.9,1,299.9,2026-08-16,fresh,True,True
00-0033553,James Conner,RB,203.5,58,51.7,2026-08-16,fresh,True,True
00-0037248,James Cook,RB,9.2,5,245.3,2026-08-16,fresh,True,True
00-0036997,Javonte Williams,RB,33.1,17,188.8,2026-08-16,fresh,True,True
00-0037228,Jaylen Warren,RB,69.7,27,152.6,2026-08-16,fresh,True,True
LOV121782,Jeremiyah Love,RB,25.6,13,212.0,2026-08-16,fresh,True,True
COL293648,Jonah Coleman,RB,142.9,46,58.9,2026-08-16,fresh,True,True
00-0036223,Jonathan Taylor,RB,5.1,3,254.3,2026-08-16,fresh,True,True
00-0039344,Jonathon Brooks,RB,93.6,36,108.5,2026-08-16,fresh,True,True
00-0037525,Jordan Mason,RB,107.7,39,143.7,2026-08-16,fresh,True,True
00-0035700,Josh Jacobs,RB,29.2,15,186.1,2026-08-16,fresh,True,True
