player_id,player,position,espn_id,espn_adp,espn_pos_rank,refreshed_at,adp_source,adp_matched
00-0034855,Baker Mayfield,QB,3052587,148.86,18,2026-08-21,fresh,True
00-0039732,Bo Nix,QB,4426338,89.44,10,2026-08-21,fresh,True
00-0037834,Brock Purdy,QB,4361741,104.62,13,2026-08-21,fresh,True
00-0039163,C.J. Stroud,QB,4432577,166.06,22,2026-08-21,fresh,True
00-0039918,Caleb Williams,QB,4431611,92.29,11,2026-08-21,fresh,True
00-0033077,Dak Prescott,QB,2577417,86.73,9,2026-08-21,fresh,True
00-0039851,Drake Maye,QB,4431452,47.3,3,2026-08-21,fresh,True
MEN516487,Fernando Mendoza,QB,4837248,166.69,23,2026-08-21,fresh,True
00-0036389,Jalen Hurts,QB,4040715,52.17,5,2026-08-21,fresh,True
00-0033106,Jared Goff,QB,3046779,138.76,16,2026-08-21,fresh,True
00-0040691,Jaxson Dart,QB,4689114,76.34,7,2026-08-21,fresh,True
00-0039910,Jayden Daniels,QB,4426348,50.8,4,2026-08-21,fresh,True
00-0036442,Joe Burrow,QB,3915511,59.96,6,2026-08-21,fresh,True
00-0036264,Jordan Love,QB,4036378,159.36,20,2026-08-21,fresh,True
00-0034857,Josh Allen,QB,3918298,22.08,1,2026-08-21,fresh,True
00-0036355,Justin Herbert,QB,4038941,108.82,14,2026-08-21,fresh,True
00-0035228,Kyler Murray,QB,3917315,147.54,17,2026-08-21,fresh,True
00-0034796,Lamar Jackson,QB,3916387,38.67,2,2026-08-21,fresh,True
00-0038128,Malik Willis,QB,4242512,166.86,24,2026-08-21,fresh,True
00-0026498,Matthew Stafford,QB,12483,79.89,8,2026-08-21,fresh,True
00-0033873,Patrick Mahomes,QB,3139477,109.07,15,2026-08-21,fresh,True
00-0034869,Sam Darnold,QB,3912547,162.49,21,2026-08-21,fresh,True
00-0036971,Trevor Lawrence,QB,4360310,94.65,12,2026-08-21,fresh,True
00-0040743,Tyler Shough,QB,4360689,155.67,19,2026-08-21,fresh,True
00-0033293,Aaron Jones,RB,3042519,130.58,36,2026-08-21,fresh,True
00-0033906,Alvin Kamara,RB,3054850,157.5,44,2026-08-21,fresh,True
00-0040122,Ashton Jeanty,RB,4890973,16.94,8,2026-08-21,fresh,True
00-0040719,Bhayshul Tuten,RB,4882093,76.75,24,2026-08-21,fresh,True
00-0038542,Bijan Robinson,RB,4430807,2.58,2,2026-08-21,fresh,True
00-0039738,Blake Corum,RB,4429096,140.33,40,2026-08-21,fresh,True
00-0039794,Braelon Allen,RB,4685247,170.57,58,2026-08-21,fresh,True
00-0038120,Breece Hall,RB,4427366,31.52,14,2026-08-21,fresh,True
00-0037746,Brian Robinson,RB,4241474,166.26,47,2026-08-21,fresh,True
00-0039361,Bucky Irving,RB,4596448,55.76,21,2026-08-21,fresh,True
00-0040715,Cam Skattebo,RB,4696981,43.6,18,2026-08-21,fresh,True
00-0038597,Chase Brown,RB,4362238,23.73,12,2026-08-21,fresh,True
00-0038611,Chris Rodriguez,RB,4362619,167.16,49,2026-08-21,fresh,True
00-0033280,Christian McCaffrey,RB,3117251,6.77,3,2026-08-21,fresh,True
00-0036555,Chuba Hubbard,RB,4241416,119.14,31,2026-08-21,fresh,True
00-0036275,D'Andre Swift,RB,4259545,68.69,22,2026-08-21,fresh,True
00-0035685,David Montgomery,RB,4035538,74.06,23,2026-08-21,fresh,True
00-0039040,De'Von Achane,RB,4429160,12.07,5,2026-08-21,fresh,True
00-0032764,Derrick Henry,RB,3043078,19.66,10,2026-08-21,fresh,True
00-0040162,Dylan Sampson,RB,5081397,170.9,60,2026-08-21,fresh,True
JOH224817,Emmett Johnson,RB,4832955,170.01,56,2026-08-21,fresh,True
00-0037197,Isiah Pacheco,RB,4361529,160.91,45,2026-08-21,fresh,True
00-0036158,J.K. Dobbins,RB,4241985,122.04,33,2026-08-21,fresh,True
00-0040242,Jacory Croskey-Merritt,RB,4575131,136.15,38,2026-08-21,fresh,True
PRI206342,Jadarian Price,RB,4685512,80.2,26,2026-08-21,fresh,True
00-0039139,Jahmyr Gibbs,RB,4429795,1.5,1,2026-08-21,fresh,True
00-0033553,James Conner,RB,3045147,170.38,57,2026-08-21,fresh,True
00-0037248,James Cook,RB,4379399,12.82,6,2026-08-21,fresh,True
00-0036997,Javonte Williams,RB,4361579,37.68,16,2026-08-21,fresh,True
00-0037228,Jaylen Warren,RB,4569987,102.83,29,2026-08-21,fresh,True
