player_id,player,position,espn_id
00-0034857,Josh Allen,QB,3918298
00-0039851,Drake Maye,QB,4431452
00-0036389,Jalen Hurts,QB,4040715
00-0039918,Caleb Williams,QB,4431611
00-0034796,Lamar Jackson,QB,3916387
00-0033873,Patrick Mahomes,QB,3139477
00-0039732,Bo Nix,QB,4426338
00-0037834,Brock Purdy,QB,4361741
00-0036355,Justin Herbert,QB,4038941
00-0033106,Jared Goff,QB,3046779
00-0036442,Joe Burrow,QB,3915511
00-0036971,Trevor Lawrence,QB,4360310
00-0040691,Jaxson Dart,QB,4689114
00-0039910,Jayden Daniels,QB,4426348
00-0034855,Baker Mayfield,QB,3052587
00-0036264,Jordan Love,QB,4036378
00-0033077,Dak Prescott,QB,2577417
00-0026498,Matthew Stafford,QB,12483
00-0034869,Sam Darnold,QB,3912547
00-0039163,C.J. Stroud,QB,4432577
00-0040743,Tyler Shough,QB,4360689
00-0035228,Kyler Murray,QB,3917315
00-0038128,Malik Willis,QB,4242512
MEN516487,Fernando Mendoza,QB,4837248
00-0039139,Jahmyr Gibbs,RB,4429795
00-0038542,Bijan Robinson,RB,4430807
00-0036223,Jonathan Taylor,RB,4242335
00-0039040,De'Von Achane,RB,4429160
00-0040122,Ashton Jeanty,RB,4890973
00-0037248,James Cook,RB,4379399
00-0034844,Saquon Barkley,RB,3929630
00-0040666,Omarion Hampton,RB,4685382
00-0037840,Kyren Williams,RB,4430737
00-0035700,Josh Jacobs,RB,4047365
00-0033280,Christian McCaffrey,RB,3117251
00-0032764,Derrick Henry,RB,3043078
00-0038120,Breece Hall,RB,4427366
00-0038134,Kenneth Walker,RB,4567048
00-0040715,Cam Skattebo,RB,4696981
00-0038597,Chase Brown,RB,4362238
00-0036973,Travis Etienne,RB,4239996
00-0040734,TreVeyon Henderson,RB,4432710
00-0040784,Quinshon Judkins,RB,4685702
00-0036997,Javonte Williams,RB,4361579
00-0036275,D'Andre Swift,RB,4259545
00-0036875,Rhamondre Stevenson,RB,4569173
00-0036158,J.K. Dobbins,RB,4241985
LOV121782,Jeremiyah Love,RB,4870808
00-0039361,Bucky Irving,RB,4596448
00-0035685,David Montgomery,RB,4035538
00-0040730,RJ Harvey,RB,4568490
00-0036555,Chuba Hubbard,RB,4241416
00-0037228,Jaylen Warren,RB,4569987
00-0035261,Tony Pollard,RB,3916148
00-0040242,Jacory Croskey-Merritt,RB,4575131
PRI206342,Jadarian Price,RB,4685512
00-0039165,Zach Charbonnet,RB,4426385
00-0033293,Aaron Jones,RB,3042519
00-0040236,Kyle Monangai,RB,4608686
00-0036919,Kenny Gainwell,RB,4371733
00-0040719,Bhayshul Tuten,RB,4882093
00-0036139,Rico Dowdle,RB,4038815
00-0037256,Rachaad White,RB,4697815
00-0039384,Tyrone Tracy,RB,4360516
00-0039738,Blake Corum,RB,4429096
00-0038611,Chris Rodriguez,RB,4362619
00-0040583,Woody Marks,RB,4429059
00-0039032,Tyjae Spears,RB,4428557
00-0037525,Jordan Mason,RB,4360569
00-0033906,Alvin Kamara,RB,3054850
00-0040162,Dylan Sampson,RB,5081397
00-0037746,Brian Robinson,RB,4241474
00-0037263,Tyler Allgeier,RB,4373626
00-0033553,James Conner,RB,3045147
00-0038555,Tank Bigsby,RB,4429013
00-0038454,Keaton Mitchell,RB,4596334
00-0037197,Isiah Pacheco,RB,4361529
WAS797326,Mike Washington,RB,4686658
00-0039794,Braelon Allen,RB,4685247
00-0039391,Kimani Vidal,RB,4430968
COL293648,Jonah Coleman,RB,4702555
00-0039344,Jonathon Brooks,RB,4678008
00-0039921,Trey Benson,RB,4429275
JOH224817,Emmett Johnson,RB,4832955
00-0037744,Trey McBride,TE,4361307
00-0039338,Brock Bowers,TE,4432665
00-0040128,Tyler Warren,TE,4431459
00-0040126,Colston Loveland,TE,4723086
00-0040663,Harold Fannin,TE,5083076
00-0036970,Kyle Pitts,TE,4360248
00-0039065,Sam LaPorta,TE,4430027
00-0033288,George Kittle,TE,3040151
00-0034753,Mark Andrews,TE,3116365
00-0030506,Travis Kelce,TE,15847
00-0033090,Hunter Henry,TE,3046439
00-0038041,Jake Ferguson,TE,4242355
00-0040189,Oronde Gadsden,TE,4595342
00-0034383,Dalton Schultz,TE,3117256
00-0038933,Dalton Kincaid,TE,4385690
00-0038996,Tucker Kraft,TE,4572680
00-0036040,Juwan Johnson,TE,3929645
00-0039793,AJ Barner,TE,4576297
00-0038935,Brenton Strange,TE,4430539
00-0034351,Dallas Goedert,TE,3121023
00-0035229,T.J. Hockenson,TE,4036133
00-0037838,Isaiah Likely,TE,4361050
00-0037809,Chig Okonkwo,TE,4360635
SAD482340,Kenyon Sadiq,TE,5083315
