player_id,player,position,yahoo_id
00-0034857,Josh Allen,QB,30977
00-0039851,Drake Maye,QB,40881
00-0036389,Jalen Hurts,QB,32723
00-0039918,Caleb Williams,QB,40900
00-0034796,Lamar Jackson,QB,31002
00-0033873,Patrick Mahomes,QB,30123
00-0039732,Bo Nix,QB,40875
00-0036355,Justin Herbert,QB,32676
00-0037834,Brock Purdy,QB,34218
00-0033106,Jared Goff,QB,29235
00-0036442,Joe Burrow,QB,32671
00-0036971,Trevor Lawrence,QB,33389
00-0040691,Jaxson Dart,QB,41810
00-0039910,Jayden Daniels,QB,40896
00-0034855,Baker Mayfield,QB,30971
00-0036264,Jordan Love,QB,32696
00-0033077,Dak Prescott,QB,29369
00-0026498,Matthew Stafford,QB,9265
00-0034869,Sam Darnold,QB,30973
00-0039163,C.J. Stroud,QB,40030
00-0040743,Tyler Shough,QB,41825
00-0035228,Kyler Murray,QB,31833
00-0038128,Malik Willis,QB,34042
MEN516487,Fernando Mendoza,QB,42623
00-0039139,Jahmyr Gibbs,RB,40059
00-0038542,Bijan Robinson,RB,40055
00-0036223,Jonathan Taylor,RB,32711
00-0039040,De'Von Achane,RB,40118
00-0040122,Ashton Jeanty,RB,41791
00-0037248,James Cook,RB,34019
00-0034844,Saquon Barkley,RB,30972
00-0040666,Omarion Hampton,RB,41807
00-0037840,Kyren Williams,RB,34120
00-0035700,Josh Jacobs,RB,31856
00-0033280,Christian McCaffrey,RB,30121
00-0032764,Derrick Henry,RB,29279
00-0038120,Breece Hall,RB,33991
00-0038134,Kenneth Walker,RB,33996
00-0040715,Cam Skattebo,RB,41922
00-0038597,Chase Brown,RB,40196
00-0036973,Travis Etienne,RB,33413
00-0040734,TreVeyon Henderson,RB,41823
00-0040784,Quinshon Judkins,RB,41821
00-0036275,D'Andre Swift,RB,32705
00-0036997,Javonte Williams,RB,33423
00-0036875,Rhamondre Stevenson,RB,33508
00-0036158,J.K. Dobbins,RB,32725
LOV121782,Jeremiyah Love,RB,42625
00-0039361,Bucky Irving,RB,40993
00-0035685,David Montgomery,RB,31905
00-0040730,RJ Harvey,RB,41845
00-0036555,Chuba Hubbard,RB,33514
00-0037228,Jaylen Warren,RB,34447
00-0035261,Tony Pollard,RB,31960
00-0040242,Jacory Croskey-Merritt,RB,42010
PRI206342,Jadarian Price,RB,42654
00-0039165,Zach Charbonnet,RB,40075
00-0033293,Aaron Jones,RB,30295
00-0040236,Kyle Monangai,RB,42025
00-0036919,Kenny Gainwell,RB,33538
00-0040719,Bhayshul Tuten,RB,41900
00-0036139,Rico Dowdle,RB,33100
00-0037256,Rachaad White,RB,34047
00-0039384,Tyrone Tracy,RB,41048
00-0040583,Woody Marks,RB,41902
00-0039738,Blake Corum,RB,40962
00-0038611,Chris Rodriguez,RB,40231
00-0039032,Tyjae Spears,RB,40119
00-0037525,Jordan Mason,RB,34320
00-0033906,Alvin Kamara,RB,30180
00-0040162,Dylan Sampson,RB,41907
00-0037746,Brian Robinson,RB,34054
00-0037263,Tyler Allgeier,RB,34107
00-0033553,James Conner,RB,30218
00-0038555,Tank Bigsby,RB,40095
WAS797326,Mike Washington,RB,42744
00-0038454,Keaton Mitchell,RB,40641
00-0037197,Isiah Pacheco,RB,34207
00-0039794,Braelon Allen,RB,40981
00-0039391,Kimani Vidal,RB,41052
COL293648,Jonah Coleman,RB,42730
00-0039921,Trey Benson,RB,40958
00-0039344,Jonathon Brooks,RB,40926
JOH224817,Emmett Johnson,RB,42796
00-0037744,Trey McBride,TE,34010
00-0039338,Brock Bowers,TE,40878
